device_name,device_os,software_version,uptime,serial_number
core-rtr01,iosxr,6.3.1,"3 days, 37 minutes",N/A
core-rtr02,iosxr,6.3.1,"3 days, 37 minutes",N/A
dist-rtr01,iosxe,17.3.2,"3 days, 36 minutes",91EDY6XXOPI
dist-rtr02,iosxe,17.3.2,"3 days, 36 minutes",9X9NDJ21PR5
dist-sw01,nxos,9.2(4),"3 days, 0 hours,35 minutes",9ORBHMVBPDB
dist-sw02,nxos,9.2(4),"3 days, 0 hours,35 minutes",9NLTHFK2289
edge-firewall01,asa,9.15(1)1,3 days 0 hours,9A3LTK7V6RD
edge-sw01,ios,15.2(20200924:215240),"3 days, 30 minutes",N/A
internet-rtr01,iosxe,17.3.2,"3 days, 36 minutes",9150TDM5N31
